recette,EPI_TH,RTO_TEMP,SUBDOE,PO2,TPS,wafer,site,meas_box,box,si,sige,xge,oxide,gof
bilayer si/sige,60,1050,RTO,560,10.42597115,11,7,TBOX7,250.967,91.635,45.478,24.9162,56.399,0.74225
bilayer si/sige,60,1050,RTO,560,10.42597115,11,8,SIMS,250.086,107.714,16.027,34.6448,76.407,0.62568
bilayer si/sige,60,1050,RTO,560,10.42597115,11,8,TBOX7,250.991,95.738,36.034,27.8722,55.585,0.74544
bilayer si/sige,60,1050,RTO,560,10.42597115,11,9,SIMS,249.612,109.254,16.321,34.6364,76.89,0.62236
bilayer si/sige,60,1050,RTO,560,10.42597115,11,9,TBOX7,249.767,90.575,39.628,24.4889,56.731,0.74883
bilayer si/sige,60,1050,RTO,200,80,12,1,SIMS,251.923,91.123,31.42,22.2048,84.682,0.65616
bilayer si/sige,60,1050,RTO,200,80,12,1,TBOX7,252.489,57.429,69.298,16.8521,73.712,0.76995
bilayer si/sige,60,1050,RTO,200,80,12,2,SIMS,251.249,90.301,31.589,22.2752,84.612,0.64407
bilayer si/sige,60,1050,RTO,200,80,12,2,TBOX7,252.844,57.99,70.162,16.9995,73.622,0.7784
bilayer si/sige,60,1050,RTO,200,80,12,3,SIMS,251.616,90.985,31.461,22.2344,84.589,0.65206
bilayer si/sige,60,1050,RTO,200,80,12,3,TBOX7,252.244,57.398,69.404,16.9527,73.738,0.77258
bilayer si/sige,60,1050,RTO,200,80,12,4,SIMS,252.285,90.793,29.42,22.0326,84.093,0.67164
bilayer si/sige,60,1050,RTO,200,80,12,4,TBOX7,252.461,59.203,63.851,16.6766,73.68,0.76046
bilayer si/sige,60,1050,RTO,200,80,12,5,SIMS,251.827,90.853,29.01,21.854,83.885,0.6806
bilayer si/sige,60,1050,RTO,200,80,12,5,TBOX7,252.718,56.631,69.266,16.8108,74.017,0.76908
bilayer si/sige,60,1050,RTO,200,80,12,6,SIMS,252.236,88.687,28.583,22.1554,84.262,0.66393
bilayer si/sige,60,1050,RTO,200,80,12,6,TBOX7,252.583,56.014,67.895,16.8758,73.747,0.76567
bilayer si/sige,60,1050,RTO,200,80,12,7,SIMS,251.386,89.798,31.526,22.4593,85.395,0.63596
bilayer si/sige,60,1050,RTO,200,80,12,7,TBOX7,252.328,55.458,71.407,17.0207,73.72,0.77438
bilayer si/sige,60,1050,RTO,200,80,12,8,SIMS,251.585,89.229,30.142,22.3491,84.437,0.6554
bilayer si/sige,60,1050,RTO,200,80,12,8,TBOX7,251.861,57.343,66.368,16.9618,73.584,0.76473
bilayer si/sige,60,1050,RTO,200,80,12,9,SIMS,250.44,88.994,31.109,22.3616,84.587,0.64528
bilayer si/sige,60,1050,RTO,200,80,12,9,TBOX7,250.532,49.135,72.091,14.451,74.755,0.75398
bilayer si/sige,60,1150,RTO,560,57.19134295,13,1,SIMS,254.112,55.855,47.284,18.431,123.107,0.61596
bilayer si/sige,60,1150,RTO,560,57.19134295,13,1,TBOX7,252.313,18.952,68.03,17.1085,155.317,0.64377
bilayer si/sige,60,1150,RTO,560,57.19134295,13,2,SIMS,254.261,56.231,47.66,18.3872,124.702,0.61914
bilayer si/sige,60,1150,RTO,560,57.19134295,13,2,TBOX7,252.579,18.948,69.256,17.1136,155.913,0.6427
bilayer si/sige,60,1150,RTO,560,57.19134295,13,3,SIMS,254.093,55.473,47.022,18.4704,122.601,0.61607
bilayer si/sige,60,1150,RTO,560,57.19134295,13,3,TBOX7,252.338,18.605,68.271,17.1774,155.619,0.64326
bilayer si/sige,60,1150,RTO,560,57.19134295,13,4,SIMS,254.743,56.059,45.355,18.1726,123.278,0.6143
bilayer si/sige,60,1150,RTO,560,57.19134295,13,4,TBOX7,252.938,20.125,62.776,16.8989,156.346,0.63418
bilayer si/sige,60,1150,RTO,560,57.19134295,13,5,SIMS,254.323,56.175,44.834,18.0883,123.788,0.61216
bilayer si/sige,60,1150,RTO,560,57.19134295,13,5,TBOX7,252.789,19.259,67.493,17.0565,156.936,0.64008
bilayer si/sige,60,1150,RTO,560,57.19134295,13,6,SIMS,254.729,54.557,43.965,18.2941,122.65,0.60574
bilayer si/sige,60,1150,RTO,560,57.19134295,13,6,TBOX7,252.716,18.808,66.142,17.1374,156.079,0.64157
bilayer si/sige,60,1150,RTO,560,57.19134295,13,7,SIMS,254.027,55.709,47.156,18.6075,124.402,0.61684
bilayer si/sige,60,1150,RTO,560,57.19134295,13,7,TBOX7,252.47,17.558,69.526,17.3638,156.411,0.65055
bilayer si/sige,60,1150,RTO,560,57.19134295,13,8,SIMS,254.51,55.252,45.525,18.4482,122.899,0.61152
bilayer si/sige,60,1150,RTO,560,57.19134295,13,8,TBOX7,252.466,18.863,65.456,17.098,155.768,0.64359
bilayer si/sige,60,1150,RTO,560,57.19134295,13,9,SIMS,253.497,54.909,46.222,18.5985,123.597,0.61167
